email,month,ai_tool,model,total_tokens,total_spend_dollars
jason.johnson@company.com,2026-03-01,GitHub Copilot,claude-sonnet-4-5,544748,9.37
jason.johnson@company.com,2026-04-01,Perplexity,sonar-pro,629685,12.86
jason.johnson@company.com,2026-05-01,GitHub Copilot,claude-sonnet-4-5,263483,4.19
jason.johnson@company.com,2026-06-01,GitHub Copilot,o3-mini,448770,5.89
jason.jones@company.com,2026-01-01,Cursor,claude-sonnet-4-5,275476,5.73
jason.jones@company.com,2026-02-01,Cursor,claude-sonnet-4-5,409385,7.72
jason.jones@company.com,2026-03-01,Cursor,claude-sonnet-4-5,521430,10.22
jason.jones@company.com,2026-04-01,Cursor,gpt-4o,477199,10.02
jason.jones@company.com,2026-05-01,Cursor,claude-sonnet-4-5,376822,6.78
jason.jones@company.com,2026-06-01,Cursor,claude-opus-4-1,179838,3.34
nancy.diallo@company.com,2026-01-01,Cursor,gpt-4o,440344,9.86
nancy.diallo@company.com,2026-01-01,GitHub Copilot,o3-mini,360292,5.03
nancy.diallo@company.com,2026-03-01,Cursor,claude-sonnet-4-5,234822,4.07
nancy.diallo@company.com,2026-03-01,GitHub Copilot,gpt-4o,455209,6.56
nancy.diallo@company.com,2026-04-01,GitHub Copilot,claude-sonnet-4-5,671456,8.57
nancy.diallo@company.com,2026-06-01,Cursor,claude-sonnet-4-5,646066,14.59
nancy.diallo@company.com,2026-06-01,GitHub Copilot,claude-sonnet-4-5,543297,8.53
cynthia.moore@company.com,2026-01-01,Cursor,claude-opus-4-1,180900,3.42
cynthia.moore@company.com,2026-01-01,ChatGPT Enterprise,gpt-4.1,301782,7.44
cynthia.moore@company.com,2026-01-01,Perplexity,sonar-pro,602356,12.32
cynthia.moore@company.com,2026-03-01,Cursor,gpt-4o,343353,5.85
cynthia.moore@company.com,2026-03-01,ChatGPT Enterprise,gpt-4.1,652030,15.57
cynthia.moore@company.com,2026-03-01,Perplexity,sonar-pro,215240,3.87
cynthia.moore@company.com,2026-04-01,Cursor,claude-opus-4-1,504139,10.87
cynthia.moore@company.com,2026-04-01,ChatGPT Enterprise,gpt-4o,486081,10.83
cynthia.moore@company.com,2026-04-01,Perplexity,sonar-pro,433680,8.86
cynthia.moore@company.com,2026-06-01,Cursor,claude-opus-4-1,406871,9.32
cynthia.moore@company.com,2026-06-01,ChatGPT Enterprise,gpt-4o,564112,14.17
sven.kumar@company.com,2026-01-01,ChatGPT Enterprise,gpt-4.1,123059,2.67
sven.kumar@company.com,2026-02-01,GitHub Copilot,claude-sonnet-4-5,648779,8.66
sven.kumar@company.com,2026-02-01,ChatGPT Enterprise,gpt-4o,395911,9.13
sven.kumar@company.com,2026-03-01,GitHub Copilot,o3-mini,414764,7.02
sven.kumar@company.com,2026-03-01,ChatGPT Enterprise,gpt-4.1,358886,7.26
sven.kumar@company.com,2026-04-01,ChatGPT Enterprise,gpt-4o,625396,12.34
sven.kumar@company.com,2026-05-01,GitHub Copilot,o3-mini,573055,9.29
sven.kumar@company.com,2026-05-01,ChatGPT Enterprise,o3,566633,11.59
sven.kumar@company.com,2026-06-01,GitHub Copilot,claude-sonnet-4-5,356071,5.51
sven.kumar@company.com,2026-06-01,ChatGPT Enterprise,o3,714989,14.07
brandon.okafor@company.com,2026-01-01,Claude,claude-opus-4-1,180287,4.02
brandon.okafor@company.com,2026-01-01,Gemini,gemini-2.5-pro,427135,6.79
brandon.okafor@company.com,2026-01-01,Perplexity,sonar-pro,519105,10.17
brandon.okafor@company.com,2026-02-01,Gemini,gemini-2.5-pro,496789,6.18
brandon.okafor@company.com,2026-02-01,Perplexity,sonar-reasoning,284773,4.49
brandon.okafor@company.com,2026-03-01,Claude,claude-sonnet-4-5,59562,1.22
brandon.okafor@company.com,2026-03-01,Perplexity,sonar-reasoning,478784,9.52
brandon.okafor@company.com,2026-04-01,Gemini,gemini-2.5-pro,376353,4.74
brandon.okafor@company.com,2026-04-01,Perplexity,sonar-reasoning,273239,4.81
brandon.okafor@company.com,2026-05-01,Claude,claude-opus-4-1,454302,10.18
brandon.okafor@company.com,2026-05-01,Gemini,gemini-2.5-pro,262021,3.83
brandon.okafor@company.com,2026-05-01,Perplexity,sonar-reasoning,286140,4.47
brandon.okafor@company.com,2026-06-01,Gemini,gemini-2.5-pro,229305,3.49
brandon.okafor@company.com,2026-06-01,Perplexity,sonar-reasoning,212740,3.81
diego.young@company.com,2026-01-01,ChatGPT Enterprise,gpt-4.1,271530,5.4
diego.young@company.com,2026-02-01,ChatGPT Enterprise,o3,447316,8.54
diego.young@company.com,2026-03-01,ChatGPT Enterprise,gpt-4.1,936257,18.13
diego.young@company.com,2026-04-01,ChatGPT Enterprise,gpt-4.1,448795,8.56
diego.young@company.com,2026-05-01,ChatGPT Enterprise,o3,239403,5.81
diego.young@company.com,2026-06-01,ChatGPT Enterprise,gpt-4.1,722188,16.83
brenda.johnson@company.com,2026-01-01,ChatGPT Enterprise,gpt-4.1,236610,4.72
brenda.johnson@company.com,2026-01-01,Perplexity,sonar-reasoning,359867,6.56
brenda.johnson@company.com,2026-02-01,Perplexity,sonar-pro,443435,8.98
brenda.johnson@company.com,2026-03-01,ChatGPT Enterprise,o3,448898,8.57
brenda.johnson@company.com,2026-04-01,Perplexity,sonar-reasoning,618779,12.61
brenda.johnson@company.com,2026-05-01,ChatGPT Enterprise,gpt-4o,407295,10.24
brenda.johnson@company.com,2026-05-01,Perplexity,sonar-reasoning,568999,10.7
brenda.johnson@company.com,2026-06-01,GitHub Copilot,claude-sonnet-4-5,7841,0.13
brenda.johnson@company.com,2026-06-01,ChatGPT Enterprise,o3,490170,9.73
brenda.johnson@company.com,2026-06-01,Perplexity,sonar-reasoning,686635,10.98
debra.carter@company.com,2026-01-01,Gemini,gemini-2.5-flash,632801,9.04
debra.carter@company.com,2026-02-01,Gemini,gemini-2.5-pro,200895,2.93
debra.carter@company.com,2026-03-01,Gemini,gemini-2.5-flash,446117,7.15
debra.carter@company.com,2026-04-01,Gemini,gemini-2.5-pro,317343,4.87
debra.carter@company.com,2026-05-01,Gemini,gemini-2.5-flash,316557,4.1
anthony.green@company.com,2026-02-01,GitHub Copilot,gpt-4o,496504,8.31
anthony.green@company.com,2026-02-01,Cursor,gpt-4o,346270,7.61
anthony.green@company.com,2026-03-01,GitHub Copilot,claude-sonnet-4-5,590472,8.13
anthony.green@company.com,2026-03-01,Cursor,claude-sonnet-4-5,406090,9.22
anthony.green@company.com,2026-05-01,GitHub Copilot,claude-sonnet-4-5,601461,7.87
anthony.green@company.com,2026-05-01,Cursor,claude-sonnet-4-5,175564,3.93
anthony.green@company.com,2026-06-01,GitHub Copilot,claude-sonnet-4-5,895005,12.08
anthony.green@company.com,2026-06-01,Cursor,claude-sonnet-4-5,602368,13.76
stephanie.martin@company.com,2026-01-01,ChatGPT Enterprise,gpt-4.1,503299,11.21
stephanie.martin@company.com,2026-02-01,ChatGPT Enterprise,gpt-4o,673119,16.32
stephanie.martin@company.com,2026-03-01,ChatGPT Enterprise,o3,521931,10.06
stephanie.martin@company.com,2026-04-01,ChatGPT Enterprise,o3,462781,9.18
stephanie.martin@company.com,2026-06-01,ChatGPT Enterprise,o3,489065,10.67
noor.diallo@company.com,2026-01-01,Gemini,gemini-2.5-flash,599083,8.06
noor.diallo@company.com,2026-02-01,Gemini,gemini-2.5-flash,793807,10.32
noor.diallo@company.com,2026-03-01,Gemini,gemini-2.5-pro,453751,5.56
noor.diallo@company.com,2026-04-01,Gemini,gemini-2.5-pro,182919,2.6
noor.diallo@company.com,2026-05-01,Gemini,gemini-2.5-flash,718002,11.37
noor.diallo@company.com,2026-06-01,Gemini,gemini-2.5-flash,391203,4.79
joseph.king@company.com,2026-01-01,Cursor,claude-opus-4-1,254275,5.19
joseph.king@company.com,2026-03-01,Cursor,claude-sonnet-4-5,356059,8.13
joseph.king@company.com,2026-05-01,Cursor,gpt-4o,549592,9.83
joseph.king@company.com,2026-06-01,Cursor,claude-opus-4-1,769577,17.3
christopher.davis@company.com,2026-02-01,Claude,claude-opus-4-1,585357,15.81
christopher.davis@company.com,2026-04-01,Claude,claude-opus-4-1,279127,5.92
christopher.davis@company.com,2026-05-01,Claude,claude-haiku-4-5,472441,12.78
anthony.baker@company.com,2026-01-01,Gemini,gemini-2.5-flash,24055,0.37
anthony.baker@company.com,2026-01-01,ChatGPT Enterprise,gpt-4.1,204345,3.87
anthony.baker@company.com,2026-02-01,ChatGPT Enterprise,gpt-4.1,472310,10.08
anthony.baker@company.com,2026-03-01,Gemini,gemini-2.5-pro,644679,8.4
anthony.baker@company.com,2026-03-01,ChatGPT Enterprise,o3,512297,12.34
anthony.baker@company.com,2026-04-01,Gemini,gemini-2.5-flash,622014,9.94
anthony.baker@company.com,2026-04-01,ChatGPT Enterprise,o3,237311,5.96
anthony.baker@company.com,2026-05-01,Gemini,gemini-2.5-flash,417416,5.12
anthony.baker@company.com,2026-05-01,ChatGPT Enterprise,o3,206842,4.88
anthony.baker@company.com,2026-06-01,Gemini,gemini-2.5-pro,344567,4.55
anthony.baker@company.com,2026-06-01,ChatGPT Enterprise,gpt-4o,439853,10.49
patrick.ali@company.com,2026-01-01,ChatGPT Enterprise,gpt-4o,569835,13.8
patrick.ali@company.com,2026-01-01,Gemini,gemini-2.5-flash,768730,9.31
patrick.ali@company.com,2026-01-01,Perplexity,sonar-pro,399683,7.21
patrick.ali@company.com,2026-02-01,Perplexity,sonar-reasoning,781454,12.71
patrick.ali@company.com,2026-03-01,ChatGPT Enterprise,o3,258416,5.27
patrick.ali@company.com,2026-03-01,Gemini,gemini-2.5-pro,734787,9.62
patrick.ali@company.com,2026-03-01,Perplexity,sonar-pro,640096,10.53
patrick.ali@company.com,2026-04-01,ChatGPT Enterprise,gpt-4o,201145,4.12
patrick.ali@company.com,2026-04-01,Gemini,gemini-2.5-pro,760291,11.23
patrick.ali@company.com,2026-04-01,Perplexity,sonar-pro,96389,1.81
patrick.ali@company.com,2026-05-01,Gemini,gemini-2.5-flash,384357,5.02
patrick.ali@company.com,2026-05-01,Perplexity,sonar-reasoning,174746,3.11
patrick.ali@company.com,2026-06-01,ChatGPT Enterprise,gpt-4.1,531515,10.3
patrick.ali@company.com,2026-06-01,Gemini,gemini-2.5-flash,288290,4.11
patrick.ali@company.com,2026-06-01,Perplexity,sonar-reasoning,424178,6.64
donna.ramirez@company.com,2026-01-01,Gemini,gemini-2.5-flash,532138,6.92
donna.ramirez@company.com,2026-02-01,Gemini,gemini-2.5-flash,532051,6.87
donna.ramirez@company.com,2026-04-01,Gemini,gemini-2.5-flash,651157,9.56
donna.ramirez@company.com,2026-05-01,Gemini,gemini-2.5-flash,589486,8.05
amanda.carter@company.com,2026-01-01,ChatGPT Enterprise,gpt-4o,447781,9.39
amanda.carter@company.com,2026-01-01,Perplexity,sonar-reasoning,673689,12.15
amanda.carter@company.com,2026-02-01,ChatGPT Enterprise,gpt-4.1,301096,5.99
amanda.carter@company.com,2026-03-01,ChatGPT Enterprise,gpt-4.1,459280,10.65
amanda.carter@company.com,2026-03-01,Perplexity,sonar-pro,335910,5.54
amanda.carter@company.com,2026-04-01,ChatGPT Enterprise,o3,488280,9.97
amanda.carter@company.com,2026-04-01,Perplexity,sonar-pro,293114,5.23
amanda.carter@company.com,2026-05-01,ChatGPT Enterprise,gpt-4.1,790558,17.39
amanda.carter@company.com,2026-05-01,Perplexity,sonar-reasoning,613443,11.14
amanda.carter@company.com,2026-06-01,ChatGPT Enterprise,gpt-4o,528237,11.3
amanda.carter@company.com,2026-06-01,Perplexity,sonar-reasoning,541447,8.7
diego.mitchell@company.com,2026-01-01,GitHub Copilot,gpt-4o,196591,2.66
diego.mitchell@company.com,2026-01-01,Perplexity,sonar-pro,469814,8.34
diego.mitchell@company.com,2026-01-01,ChatGPT Enterprise,gpt-4o,356188,8.51
diego.mitchell@company.com,2026-02-01,Perplexity,sonar-reasoning,401247,7.01
diego.mitchell@company.com,2026-02-01,ChatGPT Enterprise,o3,672275,15.81
diego.mitchell@company.com,2026-03-01,GitHub Copilot,claude-sonnet-4-5,456522,6.21
diego.mitchell@company.com,2026-03-01,Perplexity,sonar-pro,504748,8.57
diego.mitchell@company.com,2026-04-01,GitHub Copilot,gpt-4o,814400,13.4
diego.mitchell@company.com,2026-04-01,Perplexity,sonar-reasoning,240137,4.35
diego.mitchell@company.com,2026-04-01,ChatGPT Enterprise,gpt-4.1,509648,12.88
diego.mitchell@company.com,2026-05-01,GitHub Copilot,o3-mini,450078,7.58
diego.mitchell@company.com,2026-05-01,Perplexity,sonar-pro,341944,5.65
diego.mitchell@company.com,2026-05-01,ChatGPT Enterprise,gpt-4o,459148,10.12
diego.mitchell@company.com,2026-06-01,GitHub Copilot,gpt-4o,486770,7.03
diego.mitchell@company.com,2026-06-01,Perplexity,sonar-pro,403110,6.4
diego.mitchell@company.com,2026-06-01,ChatGPT Enterprise,gpt-4o,418595,9.73
hiroshi.chen@company.com,2026-01-01,ChatGPT Enterprise,gpt-4.1,445182,8.93
hiroshi.chen@company.com,2026-04-01,ChatGPT Enterprise,gpt-4.1,729998,14.31
debra.okafor@company.com,2026-02-01,Perplexity,sonar-reasoning,687195,11.84
debra.okafor@company.com,2026-03-01,Perplexity,sonar-reasoning,28006,0.57
debra.okafor@company.com,2026-04-01,Perplexity,sonar-pro,718591,14.51
debra.okafor@company.com,2026-05-01,Perplexity,sonar-pro,454621,9.29
linda.robinson@company.com,2026-01-01,ChatGPT Enterprise,gpt-4.1,513630,10.61
linda.robinson@company.com,2026-04-01,ChatGPT Enterprise,o3,985024,21.19
linda.robinson@company.com,2026-05-01,ChatGPT Enterprise,gpt-4o,548065,12.59
linda.robinson@company.com,2026-06-01,ChatGPT Enterprise,gpt-4.1,455967,9.33
rebecca.mitchell@company.com,2026-01-01,Perplexity,sonar-reasoning,524579,10.75
rebecca.mitchell@company.com,2026-02-01,Perplexity,sonar-reasoning,616202,12.09
rebecca.mitchell@company.com,2026-03-01,Perplexity,sonar-pro,645029,13.29
rebecca.mitchell@company.com,2026-05-01,Perplexity,sonar-reasoning,664365,10.82
rebecca.mitchell@company.com,2026-06-01,Perplexity,sonar-pro,690838,13.28
angela.patel@company.com,2026-01-01,Perplexity,sonar-reasoning,168285,2.68
angela.patel@company.com,2026-01-01,GitHub Copilot,gpt-4o,692074,8.86
angela.patel@company.com,2026-02-01,Perplexity,sonar-pro,551763,11.36
angela.patel@company.com,2026-02-01,GitHub Copilot,o3-mini,177156,2.75
angela.patel@company.com,2026-03-01,Perplexity,sonar-reasoning,417098,7.16
angela.patel@company.com,2026-03-01,GitHub Copilot,o3-mini,650302,10.9
angela.patel@company.com,2026-04-01,GitHub Copilot,claude-sonnet-4-5,720846,11.94
angela.patel@company.com,2026-05-01,Perplexity,sonar-pro,451422,7.71
angela.patel@company.com,2026-05-01,GitHub Copilot,claude-sonnet-4-5,291730,4.01
angela.patel@company.com,2026-06-01,Perplexity,sonar-pro,621641,11.43
scott.adams@company.com,2026-01-01,Cursor,gpt-4o,542725,11.65
scott.adams@company.com,2026-04-01,Cursor,claude-opus-4-1,699604,15.63
scott.adams@company.com,2026-05-01,Cursor,gpt-4o,391187,8.88
betty.kim@company.com,2026-01-01,Gemini,gemini-2.5-flash,414430,5.72
betty.kim@company.com,2026-04-01,Gemini,gemini-2.5-flash,282701,4.01
betty.kim@company.com,2026-06-01,Gemini,gemini-2.5-flash,643523,8.16
laura.thompson@company.com,2026-01-01,Cursor,gpt-4o,603969,13.26
laura.thompson@company.com,2026-02-01,Cursor,gpt-4o,694141,14.6
laura.thompson@company.com,2026-03-01,Cursor,gpt-4o,523432,10.97
laura.thompson@company.com,2026-05-01,Cursor,claude-sonnet-4-5,268928,5.52
laura.thompson@company.com,2026-06-01,Cursor,claude-sonnet-4-5,387080,8.19
laura.hall@company.com,2026-01-01,ChatGPT Enterprise,gpt-4o,264666,6.49
laura.hall@company.com,2026-01-01,Cursor,gpt-4o,608479,11.87
laura.hall@company.com,2026-01-01,Perplexity,sonar-pro,381557,7.84
laura.hall@company.com,2026-02-01,Cursor,claude-opus-4-1,908256,20.27
laura.hall@company.com,2026-02-01,Perplexity,sonar-reasoning,350000,6.55
laura.hall@company.com,2026-03-01,ChatGPT Enterprise,o3,40567,0.94
laura.hall@company.com,2026-03-01,Cursor,claude-sonnet-4-5,709061,16.13
laura.hall@company.com,2026-03-01,Perplexity,sonar-reasoning,419479,8.03
laura.hall@company.com,2026-04-01,ChatGPT Enterprise,gpt-4.1,208874,4.48
laura.hall@company.com,2026-04-01,Cursor,claude-opus-4-1,335351,6.28
laura.hall@company.com,2026-04-01,Perplexity,sonar-pro,409687,6.59
laura.hall@company.com,2026-05-01,ChatGPT Enterprise,gpt-4o,444203,11.19
laura.hall@company.com,2026-05-01,Cursor,claude-sonnet-4-5,596828,11.2
laura.hall@company.com,2026-05-01,Perplexity,sonar-pro,216636,3.73
laura.hall@company.com,2026-06-01,ChatGPT Enterprise,gpt-4.1,426242,10.06
laura.hall@company.com,2026-06-01,Cursor,claude-sonnet-4-5,90666,1.82
laura.hall@company.com,2026-06-01,Perplexity,sonar-reasoning,430405,7.47
karen.mitchell@company.com,2026-01-01,GitHub Copilot,claude-sonnet-4-5,397710,5.63
karen.mitchell@company.com,2026-03-01,GitHub Copilot,o3-mini,640919,10.2
karen.mitchell@company.com,2026-04-01,GitHub Copilot,claude-sonnet-4-5,102633,1.65
karen.mitchell@company.com,2026-05-01,GitHub Copilot,gpt-4o,419171,6.63
karen.mitchell@company.com,2026-06-01,GitHub Copilot,claude-sonnet-4-5,558194,7.42
joshua.kim@company.com,2026-02-01,Perplexity,sonar-pro,330670,5.65
joshua.kim@company.com,2026-03-01,Perplexity,sonar-pro,380450,7.73
joshua.kim@company.com,2026-04-01,Perplexity,sonar-reasoning,215692,3.72
joshua.kim@company.com,2026-05-01,Perplexity,sonar-pro,463927,9.5
joshua.kim@company.com,2026-06-01,Perplexity,sonar-pro,257057,4.06
jacob.perez@company.com,2026-01-01,Cursor,gpt-4o,562587,10.68
jacob.perez@company.com,2026-01-01,ChatGPT Enterprise,gpt-4.1,5000,0.12
jacob.perez@company.com,2026-01-01,Claude,claude-sonnet-4-5,334317,7.1
jacob.perez@company.com,2026-02-01,Cursor,claude-opus-4-1,260536,5.93
jacob.perez@company.com,2026-02-01,ChatGPT Enterprise,o3,285694,6.06
jacob.perez@company.com,2026-02-01,Claude,claude-sonnet-4-5,280865,6.3
jacob.perez@company.com,2026-03-01,Cursor,gpt-4o,597465,12
jacob.perez@company.com,2026-03-01,ChatGPT Enterprise,o3,820326,16.38
jacob.perez@company.com,2026-03-01,Claude,claude-sonnet-4-5,554698,11.98
jacob.perez@company.com,2026-04-01,Cursor,claude-sonnet-4-5,363494,7.55
jacob.perez@company.com,2026-04-01,ChatGPT Enterprise,gpt-4.1,361367,7.77
jacob.perez@company.com,2026-05-01,Cursor,claude-opus-4-1,490944,11.11
jacob.perez@company.com,2026-05-01,ChatGPT Enterprise,gpt-4o,193643,3.65
jacob.perez@company.com,2026-05-01,Claude,claude-sonnet-4-5,501264,13.09
jacob.perez@company.com,2026-06-01,Cursor,claude-sonnet-4-5,481424,10.82
jacob.perez@company.com,2026-06-01,ChatGPT Enterprise,o3,318925,6
jacob.perez@company.com,2026-06-01,Claude,claude-haiku-4-5,310037,6.34
fatima.thompson@company.com,2026-03-01,Perplexity,sonar-pro,382149,7.1
fatima.thompson@company.com,2026-04-01,Perplexity,sonar-reasoning,715392,12.47
fatima.thompson@company.com,2026-05-01,Perplexity,sonar-pro,567378,11.12
fatima.thompson@company.com,2026-06-01,Perplexity,sonar-pro,585492,9.9
yuki.yamamoto@company.com,2026-01-01,Cursor,claude-opus-4-1,179488,3.06
yuki.yamamoto@company.com,2026-04-01,Cursor,claude-opus-4-1,87628,1.99
yuki.yamamoto@company.com,2026-05-01,Cursor,claude-opus-4-1,346734,7.24
yuki.yamamoto@company.com,2026-06-01,Cursor,claude-sonnet-4-5,604334,12.51
yuki.diallo@company.com,2026-01-01,Gemini,gemini-2.5-pro,698510,11.23
yuki.diallo@company.com,2026-01-01,ChatGPT Enterprise,gpt-4.1,114151,2.19
yuki.diallo@company.com,2026-02-01,Perplexity,sonar-pro,418217,7.15
yuki.diallo@company.com,2026-02-01,ChatGPT Enterprise,gpt-4o,244411,5.03
yuki.diallo@company.com,2026-04-01,Perplexity,sonar-reasoning,335529,6.19
yuki.diallo@company.com,2026-04-01,Gemini,gemini-2.5-flash,347351,5.31
yuki.diallo@company.com,2026-04-01,ChatGPT Enterprise,gpt-4o,585260,11.8
yuki.diallo@company.com,2026-05-01,Perplexity,sonar-reasoning,454107,7.28
yuki.diallo@company.com,2026-05-01,Gemini,gemini-2.5-flash,284919,3.76
yuki.diallo@company.com,2026-05-01,ChatGPT Enterprise,gpt-4o,489250,11.23
michael.gonzalez@company.com,2026-01-01,Perplexity,sonar-pro,418821,6.58
michael.gonzalez@company.com,2026-02-01,ChatGPT Enterprise,o3,824080,19.59
michael.gonzalez@company.com,2026-02-01,Cursor,claude-sonnet-4-5,236330,5.43
michael.gonzalez@company.com,2026-03-01,Perplexity,sonar-reasoning,378200,6.59
michael.gonzalez@company.com,2026-03-01,ChatGPT Enterprise,gpt-4.1,434296,9.45
michael.gonzalez@company.com,2026-03-01,Cursor,gpt-4o,301547,5.78
michael.gonzalez@company.com,2026-05-01,Perplexity,sonar-pro,454480,7.34
michael.gonzalez@company.com,2026-05-01,ChatGPT Enterprise,gpt-4.1,351100,8.09
michael.gonzalez@company.com,2026-05-01,Cursor,claude-opus-4-1,401941,6.93
michael.gonzalez@company.com,2026-06-01,Perplexity,sonar-reasoning,26780,0.46
michael.gonzalez@company.com,2026-06-01,Cursor,gpt-4o,142980,3.19
noor.lewis@company.com,2026-02-01,Claude,claude-haiku-4-5,710247,18.73
noor.lewis@company.com,2026-03-01,GitHub Copilot,claude-sonnet-4-5,291721,4.22
noor.lewis@company.com,2026-03-01,Claude,claude-sonnet-4-5,375325,9.05
noor.lewis@company.com,2026-04-01,GitHub Copilot,claude-sonnet-4-5,174540,2.5
noor.lewis@company.com,2026-04-01,Claude,claude-haiku-4-5,635078,12.99
noor.lewis@company.com,2026-05-01,GitHub Copilot,gpt-4o,678782,9.3
noor.lewis@company.com,2026-05-01,Claude,claude-opus-4-1,570377,14.11
noor.lewis@company.com,2026-06-01,GitHub Copilot,o3-mini,557731,8.32
noor.lewis@company.com,2026-06-01,Claude,claude-sonnet-4-5,183651,4.53
noor.flores@company.com,2026-01-01,Perplexity,sonar-pro,676401,10.94
noor.flores@company.com,2026-01-01,Cursor,claude-sonnet-4-5,512922,11.46
noor.flores@company.com,2026-02-01,Perplexity,sonar-reasoning,261918,4.03
noor.flores@company.com,2026-02-01,Cursor,claude-opus-4-1,314507,6.9
noor.flores@company.com,2026-02-01,ChatGPT Enterprise,gpt-4o,5000,0.12
noor.flores@company.com,2026-03-01,Perplexity,sonar-pro,627354,12.29
noor.flores@company.com,2026-03-01,Cursor,claude-sonnet-4-5,296096,5.33
noor.flores@company.com,2026-03-01,ChatGPT Enterprise,o3,299516,6.78
noor.flores@company.com,2026-05-01,ChatGPT Enterprise,gpt-4.1,314970,7.15
noor.flores@company.com,2026-06-01,Perplexity,sonar-pro,141334,2.83
noor.flores@company.com,2026-06-01,Cursor,claude-sonnet-4-5,670172,15.02
noor.flores@company.com,2026-06-01,ChatGPT Enterprise,gpt-4o,595996,14.67
helen.anderson@company.com,2026-01-01,Perplexity,sonar-reasoning,413184,7.5
helen.anderson@company.com,2026-01-01,Cursor,gpt-4o,489018,10.63
helen.anderson@company.com,2026-01-01,ChatGPT Enterprise,gpt-4.1,582269,14.11
helen.anderson@company.com,2026-02-01,Perplexity,sonar-reasoning,79843,1.43
helen.anderson@company.com,2026-02-01,Cursor,claude-sonnet-4-5,373569,7.27
helen.anderson@company.com,2026-02-01,ChatGPT Enterprise,gpt-4.1,810317,19.13
helen.anderson@company.com,2026-04-01,Perplexity,sonar-reasoning,294981,5.02
helen.anderson@company.com,2026-04-01,Cursor,claude-sonnet-4-5,223291,4.37
helen.anderson@company.com,2026-04-01,ChatGPT Enterprise,o3,565779,11.95
helen.anderson@company.com,2026-05-01,Perplexity,sonar-pro,300693,5.27
helen.anderson@company.com,2026-05-01,Cursor,gpt-4o,549756,10.94
helen.anderson@company.com,2026-05-01,ChatGPT Enterprise,gpt-4.1,657641,13.79
helen.anderson@company.com,2026-06-01,Perplexity,sonar-pro,447310,8.53
helen.anderson@company.com,2026-06-01,Cursor,claude-sonnet-4-5,254212,5.1
helen.anderson@company.com,2026-06-01,ChatGPT Enterprise,gpt-4.1,243790,4.64
frank.sanchez@company.com,2026-01-01,Claude,claude-sonnet-4-5,270434,7.12
frank.sanchez@company.com,2026-02-01,Claude,claude-sonnet-4-5,567272,11.9
frank.sanchez@company.com,2026-04-01,Claude,claude-haiku-4-5,499946,12.56
frank.sanchez@company.com,2026-05-01,Claude,claude-sonnet-4-5,764259,19.11
frank.sanchez@company.com,2026-06-01,Claude,claude-haiku-4-5,338453,9.17
jennifer.hernandez@company.com,2026-01-01,Cursor,claude-opus-4-1,171894,3.56
jennifer.hernandez@company.com,2026-01-01,Claude,claude-opus-4-1,431541,9.55
jennifer.hernandez@company.com,2026-02-01,Cursor,gpt-4o,341057,7
jennifer.hernandez@company.com,2026-02-01,Claude,claude-haiku-4-5,593911,15.12
jennifer.hernandez@company.com,2026-02-01,Perplexity,sonar-reasoning,415591,7.67
jennifer.hernandez@company.com,2026-03-01,Cursor,claude-sonnet-4-5,222216,4.59
jennifer.hernandez@company.com,2026-03-01,Claude,claude-opus-4-1,325194,7.59
jennifer.hernandez@company.com,2026-05-01,Cursor,claude-opus-4-1,386500,8.79
jennifer.hernandez@company.com,2026-05-01,Claude,claude-haiku-4-5,449826,10.4
jennifer.hernandez@company.com,2026-05-01,Perplexity,sonar-pro,644662,12.5
jennifer.hernandez@company.com,2026-06-01,Cursor,gpt-4o,735167,14.62
jennifer.hernandez@company.com,2026-06-01,Claude,claude-opus-4-1,233142,5.82
jennifer.hernandez@company.com,2026-06-01,Perplexity,sonar-pro,507541,8.73
nicholas.wilson@company.com,2026-01-01,Claude,claude-opus-4-1,273515,6.07
nicholas.wilson@company.com,2026-03-01,Claude,claude-sonnet-4-5,343693,7.79
nicholas.wilson@company.com,2026-04-01,Claude,claude-sonnet-4-5,412065,11.22
nicholas.wilson@company.com,2026-05-01,Claude,claude-opus-4-1,439346,9.73
nicholas.wilson@company.com,2026-06-01,Claude,claude-sonnet-4-5,318724,8.42
jeffrey.gonzalez@company.com,2026-01-01,GitHub Copilot,gpt-4o,686907,10.81
jeffrey.gonzalez@company.com,2026-02-01,GitHub Copilot,claude-sonnet-4-5,320123,5.46
jeffrey.gonzalez@company.com,2026-03-01,GitHub Copilot,o3-mini,5000,0.08
jeffrey.gonzalez@company.com,2026-04-01,GitHub Copilot,claude-sonnet-4-5,475169,6.66
jeffrey.gonzalez@company.com,2026-05-01,GitHub Copilot,gpt-4o,263640,4.48
sofia.osei@company.com,2026-01-01,Gemini,gemini-2.5-pro,419600,5.8
sofia.osei@company.com,2026-02-01,Gemini,gemini-2.5-pro,573499,8.22
sofia.osei@company.com,2026-02-01,GitHub Copilot,claude-sonnet-4-5,459188,7.64
sofia.osei@company.com,2026-03-01,Gemini,gemini-2.5-flash,205955,2.77
sofia.osei@company.com,2026-03-01,GitHub Copilot,gpt-4o,494419,7.24
sofia.osei@company.com,2026-04-01,Gemini,gemini-2.5-flash,429017,5.34
sofia.osei@company.com,2026-04-01,GitHub Copilot,gpt-4o,561402,9.21
sofia.osei@company.com,2026-05-01,Gemini,gemini-2.5-flash,523656,7.99
